2024-01-30-08:23:42,4386030,-9.32,0.53,1.16,-0.11,0.01,-0.07,898.20,898.03,0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4386030,-9.32,0.53,1.16,-0.11,0.01,-0.07,898.20,898.03,0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4386149,-9.33,0.48,1.17,-0.10,0.01,-0.07,898.20,898.04,0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4386149,-9.33,0.48,1.17,-0.10,0.01,-0.07,898.20,898.04,0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4386276,-9.32,0.54,1.17,-0.11,0.01,-0.07,898.11,898.04,-0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4386276,-9.32,0.54,1.17,-0.11,0.01,-0.07,898.11,898.04,-0.00,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4386401,-9.31,0.48,1.13,-0.10,0.01,-0.07,898.83,898.11,0.02,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4386401,-9.31,0.48,1.13,-0.10,0.01,-0.07,898.83,898.11,0.02,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:42,4386528,-9.31,0.54,1.14,-0.10,0.01,-0.07,898.56,898.14,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4386528,-9.31,0.54,1.14,-0.10,0.01,-0.07,898.56,898.14,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4386653,-9.32,0.51,1.14,-0.11,0.01,-0.07,898.38,898.16,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4386768,-9.31,0.52,1.15,-0.10,0.01,-0.07,897.75,898.13,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4386768,-9.31,0.52,1.15,-0.10,0.01,-0.07,897.75,898.13,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4386892,-9.32,0.51,1.15,-0.11,0.01,-0.07,898.02,898.11,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4386892,-9.32,0.51,1.15,-0.11,0.01,-0.07,898.02,898.11,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387017,-9.31,0.50,1.15,-0.10,0.01,-0.07,898.38,898.13,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387017,-9.31,0.50,1.15,-0.10,0.01,-0.07,898.38,898.13,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387142,-9.32,0.53,1.14,-0.10,0.01,-0.07,898.11,898.13,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387142,-9.32,0.53,1.14,-0.10,0.01,-0.07,898.11,898.13,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387260,-9.32,0.50,1.13,-0.10,0.01,-0.07,898.29,898.14,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387260,-9.32,0.50,1.13,-0.10,0.01,-0.07,898.29,898.14,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387376,-9.31,0.54,1.16,-0.10,0.01,-0.07,898.47,898.16,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387376,-9.31,0.54,1.16,-0.10,0.01,-0.07,898.47,898.16,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387496,-9.31,0.49,1.14,-0.11,0.01,-0.07,898.11,898.16,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:43,4387496,-9.31,0.49,1.14,-0.11,0.01,-0.07,898.11,898.16,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4387619,-9.31,0.51,1.15,-0.10,0.01,-0.07,898.56,898.19,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4387737,-9.31,0.52,1.16,-0.11,0.01,-0.07,898.56,898.22,0.03,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4387737,-9.31,0.52,1.16,-0.11,0.01,-0.07,898.56,898.22,0.03,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4387857,-9.32,0.48,1.14,-0.10,0.01,-0.07,898.56,898.24,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4387857,-9.32,0.48,1.14,-0.10,0.01,-0.07,898.56,898.24,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4387979,-9.31,0.52,1.14,-0.10,0.01,-0.07,898.47,898.26,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4387979,-9.31,0.52,1.14,-0.10,0.01,-0.07,898.47,898.26,0.04,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4388096,-9.31,0.50,1.12,-0.10,0.01,-0.07,898.20,898.26,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4388096,-9.31,0.50,1.12,-0.10,0.01,-0.07,898.20,898.26,0.03,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4388214,-9.31,0.53,1.14,-0.10,0.01,-0.07,898.20,898.25,0.03,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4388214,-9.31,0.53,1.14,-0.10,0.01,-0.07,898.20,898.25,0.03,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4388345,-9.31,0.51,1.14,-0.11,0.01,-0.07,898.29,898.25,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4388345,-9.31,0.51,1.14,-0.11,0.01,-0.07,898.29,898.25,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4388472,-9.31,0.51,1.14,-0.10,0.01,-0.07,898.38,898.26,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:44,4388587,-9.32,0.51,1.16,-0.11,0.01,-0.07,898.20,898.25,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4388587,-9.32,0.51,1.16,-0.11,0.01,-0.07,898.20,898.25,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4388707,-9.32,0.51,1.15,-0.10,0.01,-0.07,898.47,898.27,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4388707,-9.32,0.51,1.15,-0.10,0.01,-0.07,898.47,898.27,0.02,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4388826,-9.33,0.52,1.17,-0.11,0.01,-0.07,898.38,898.27,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4388826,-9.33,0.52,1.17,-0.11,0.01,-0.07,898.38,898.27,0.01,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4388948,-9.31,0.50,1.16,-0.10,0.01,-0.07,898.74,898.31,0.03,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4388948,-9.31,0.50,1.16,-0.10,0.01,-0.07,898.74,898.31,0.03,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4389065,-9.31,0.53,1.15,-0.11,0.01,-0.07,898.65,898.34,0.04,-0.02,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4389181,-9.32,0.49,1.13,-0.11,0.01,-0.07,898.74,898.37,0.05,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4389181,-9.32,0.49,1.13,-0.11,0.01,-0.07,898.74,898.37,0.05,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4389300,-9.32,0.54,1.14,-0.10,0.01,-0.07,898.65,898.40,0.05,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4389300,-9.32,0.54,1.14,-0.10,0.01,-0.07,898.65,898.40,0.05,-0.01,0.0000000000000000,0.0000000000000000,0
2024-01-30-08:23:45,4389416,-9.31,0.49,1.14,-0.10,0.01,-0.07,898.11,898.37,0.03,-0.02,0.0000000000000000,0.0000000000000000,0
